MarketNo,MarketName,MarketType,YearMonth,ClosedDate
F600,嘉義,魚,11307,8、15、22、26、29
F109,台北,魚,11307,8、11、15、22、25、29
F400,台中,魚,11307,8、15、22、29
F800,高雄,魚,11307,8、15、22、29
F330,桃園,魚,11307,8、15、22、25、29
F500,彰化,魚,11307,8、15、22、29
F241,三重,魚,11307,8、11、15、22、25、29
F270,蘇澳,魚,11307,7、14、21、28
F709,興達港,魚,11307,7、21、24、25、26
F730,新營,魚,11307,8、15、22、29
F880,澎湖,魚,11307,24、25
F950,花蓮,魚,11307,6、7、13、14、20、21、27、28
F200,基隆,魚,11307,6、7、13、14、20、21、27、28
F300,新竹,魚,11307,8、15、22、29
F513,埔心,魚,11307,8、15、22、29
F708,台南,魚,11307,8、15、22、29
F820,岡山,魚,11307,8、15、22、29
F916,東港,魚,11307,7、14、15、21、28、29
F630,斗南,魚,11307,8、15、22、26、29
F261,頭城,魚,11307,7、14、21、24、25、28
F722,佳里,魚,11307,8、15、22、29
F936,新港,魚,11307,7、14、21、28
F200,基隆,魚,11306,2、8、9、10、15、16、22、23、29、30
F330,桃園,魚,11306,3、11、12、13、17、24
F709,興達港,魚,11306,7、21
F722,佳里,魚,11306,3、10、11、12、17、24
F261,頭城,魚,11306,2、10、16、23、30
F300,新竹,魚,11306,3、10、11、12、17、24
F500,彰化,魚,11306,3、10、11、12、17、24
F600,嘉義,魚,11306,3、9、10、11、12、13、17、24
F630,斗南,魚,11306,3、10、11、12、17、24
F109,台北,魚,11306,3、11、12、17、24
F400,台中,魚,11306,3、10、11、12、17、24
F820,岡山,魚,11306,3、10、11、12、17、24
F916,東港,魚,11306,2、9、10、16、23、24、30
F950,花蓮,魚,11306,8、9、10、15、16、22、23、29、30
F513,埔心,魚,11306,3、10、11、12、17、24
F708,台南,魚,11306,3、10、11、12、17、24
F360,苗栗,魚,11306,3、6、11、12、13、17、20、24、27
F730,新營,魚,11306,3、10、11、12、17、24
F241,三重,魚,11306,3、10、11、12、13、17、24
F800,高雄,魚,11306,3、10、17、24
F936,新港,魚,11306,2、9、10、11、16、23、30
F270,蘇澳,魚,11306,2、9、10、11、16、23、30
F630,斗南,魚,11305,6、13、20、27
F709,興達港,魚,11305,9、23
F800,高雄,魚,11305,6、13、20、27
F261,頭城,魚,11305,5、12、19、26
F722,佳里,魚,11305,6、13、20、27
F730,新營,魚,11305,6、13、20、27
F330,桃園,魚,11305,6、13、20、27、30
F500,彰化,魚,11305,6、13、20、27
F513,埔心,魚,11305,6、13、20、27
F936,新港,魚,11305,5、12、19、26
F109,台北,魚,11305,6、13、20、27、30
F360,苗栗,魚,11305,2、6、9、13、16、20、23、27、30
F820,岡山,魚,11305,6、13、20、27
F916,東港,魚,11305,5、12、19、26、27
F950,花蓮,魚,11305,4、5、11、12、18、19、25、26
F200,基隆,魚,11305,4、5、11、12、18、19、25、26
F241,三重,魚,11305,6、13、20、27、30
F300,新竹,魚,11305,6、13、20、27
F708,台南,魚,11305,6、13、20、27
F270,蘇澳,魚,11305,5、12、19、26
F400,台中,魚,11305,6、13、20、27
F600,嘉義,魚,11305,6、13、20、27
F270,蘇澳,魚,11304,3、4、5、6、7、14、21、28
F500,彰化,魚,11304,5、6、7、8、15、22、29
F600,嘉義,魚,11304,5、6、7、8、15、22、29
F630,斗南,魚,11304,5、6、7、8、15、22、29
F200,基隆,魚,11304,4、5、6、7、13、14、20、21、28
F400,台中,魚,11304,5、6、7、8、9、10、11、15、22、29
F936,新港,魚,11304,3、4、7、14、21、28
F513,埔心,魚,11304,5、6、7、8、15、22、29
F950,花蓮,魚,11304,3、4、5、6、7、13、14、20、21、27、28
F261,頭城,魚,11304,4、7、14、21、28
F300,新竹,魚,11304,4、5、6、7、8、15、22、29
F730,新營,魚,11304,5、6、7、8、15、22、29
F330,桃園,魚,11304,4、5、8、15、22、29
F708,台南,魚,11304,5、6、7、8、15、22、29
F241,三重,魚,11304,4、5、8、15、22、29
F109,台北,魚,11304,4、5、8、15、22、29
F360,苗栗,魚,11304,4、5、8、11、15、18、22、25、29
F709,興達港,魚,11304,10、24
F722,佳里,魚,11304,5、6、7、8、15、22、29
F800,高雄,魚,11304,4、8、15、22、29
F820,岡山,魚,11304,5、6、7、8、15、22、29
F916,東港,魚,11304,4、5、7、14、15、21、28、29
F360,苗栗,魚,11303,4、7、11、14、18、21、25、28
F600,嘉義,魚,11303,4、11、18、25
F950,花蓮,魚,11303,2、3、9、10、16、17、23、24、30、31
F109,台北,魚,11303,4、11、18、21、25
F330,桃園,魚,11303,4、11、18、21、25
F800,高雄,魚,11303,4、11、18、25
F270,蘇澳,魚,11303,3、10、17、24、31
F709,興達港,魚,11303,11、15、25
F730,新營,魚,11303,4、11、18、25
F916,東港,魚,11303,3、10、11、17、24、25、31
F200,基隆,魚,11303,2、3、9、10、16、17、23、24、30、31
F630,斗南,魚,11303,4、11、18、25
